tube.ID,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,Family,ReefMom,Mom,Dad,Species,tube.ID,Replicate,CrossType,Lifestage,SymbiontTreatment,Dataform,Cumulative.hrs,Mom2,Dad2,Cross,Cross_2,No.LarvaeInStart,No.LarvaeInExpected,No.LarvaeInObserved,Percent_Survival_atend,"Alive, Dead, Sampled",Infected? (Y or N),No.Cells1,No.Cells2,No.Cells3,PAM(EffectiveQuant),Area (mm^2),MicroscopeImageName,PAM File Name,Date Sampled,Settlement
9,0,2024-04-10,2024,15:00,31,27.5,9,B.T.8xB.T.2,F7,BT8,BT8,BT2,A.ten,9,A,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
10,0,2024-04-10,2024,15:00,31,27.5,10,T.T.6xT.T.12,F2,TT6,TT6,TT12,A.ten,10,C,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
11,0,2024-04-10,2024,15:00,31,27.5,13,T.T.2xT.T.4,F3,TT2,TT2,TT4,A.ten,11,B,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
12,0,2024-04-10,2024,15:00,31,27.5,6,B.T.2xB.T.4,F10,BT2,BT2,BT4,A.ten,12,A,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
13,0,2024-04-10,2024,15:00,31,27.5,6,B.T.2xB.T.4,F10,BT2,BT2,BT4,A.ten,13,C,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
14,0,2024-04-10,2024,15:00,31,27.5,10,T.T.6xT.T.12,F2,TT6,TT6,TT12,A.ten,14,A,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
15,0,2024-04-10,2024,15:00,31,27.5,7,B.T.4xB.T.2,F6,BT4,BT4,BT2,A.ten,15,B,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
16,0,2024-04-10,2024,15:00,31,27.5,2,T.T.12xT.T.6,F1,TT12,TT12,TT6,A.ten,16,A,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
17,0,2024-04-10,2024,15:00,31,27.5,10,T.T.6xT.T.12,F2,TT6,TT6,TT12,A.ten,17,B,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
18,0,2024-04-10,2024,15:00,31,27.5,9,B.T.8xB.T.2,F7,BT8,BT8,BT2,A.ten,18,C,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
19,0,2024-04-10,2024,15:00,31,27.5,9,B.T.8xB.T.2,F7,BT8,BT8,BT2,A.ten,19,B,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
20,0,2024-04-10,2024,15:00,31,27.5,18,Bulk1,F4,Bulk,Bulk,Bulk,A.ten,20,B,BulkCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
21,0,2024-04-10,2024,15:00,31,27.5,13,T.T.2xT.T.4,F3,TT2,TT2,TT4,A.ten,21,A,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
22,0,2024-04-10,2024,15:00,31,27.5,6,B.T.2xB.T.4,F10,BT2,BT2,BT4,A.ten,22,B,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
23,0,2024-04-10,2024,15:00,31,27.5,6,B.T.2xB.T.4,F10,BT2,BT2,BT4,A.ten,23,C,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
24,0,2024-04-10,2024,15:00,31,27.5,13,T.T.2xT.T.4,F3,TT2,TT2,TT4,A.ten,24,A,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
25,0,2024-04-10,2024,15:00,31,27.5,2,T.T.12xT.T.6,F1,TT12,TT12,TT6,A.ten,25,A,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
26,0,2024-04-10,2024,15:00,31,27.5,2,T.T.12xT.T.6,F1,TT12,TT12,TT6,A.ten,26,B,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
27,0,2024-04-10,2024,15:00,31,27.5,9,B.T.8xB.T.2,F7,BT8,BT8,BT2,A.ten,27,A,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
28,0,2024-04-10,2024,15:00,31,27.5,10,T.T.6xT.T.12,F2,TT6,TT6,TT12,A.ten,28,B,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
29,0,2024-04-10,2024,15:00,31,27.5,6,B.T.2xB.T.4,F10,BT2,BT2,BT4,A.ten,29,A,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
30,0,2024-04-10,2024,15:00,31,27.5,9,B.T.8xB.T.2,F7,BT8,BT8,BT2,A.ten,30,B,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
31,0,2024-04-10,2024,15:00,31,27.5,7,B.T.4xB.T.2,F6,BT4,BT4,BT2,A.ten,31,B,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
32,0,2024-04-10,2024,15:00,31,27.5,10,T.T.6xT.T.12,F2,TT6,TT6,TT12,A.ten,32,C,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
33,0,2024-04-10,2024,15:00,31,27.5,9,B.T.8xB.T.2,F7,BT8,BT8,BT2,A.ten,33,C,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
34,0,2024-04-10,2024,15:00,31,27.5,10,T.T.6xT.T.12,F2,TT6,TT6,TT12,A.ten,34,A,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
35,0,2024-04-10,2024,15:00,31,27.5,18,Bulk1,F4,Bulk,Bulk,Bulk,A.ten,35,C,BulkCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
36,0,2024-04-10,2024,15:00,31,27.5,2,T.T.12xT.T.6,F1,TT12,TT12,TT6,A.ten,36,B,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
37,0,2024-04-10,2024,15:00,31,27.5,7,B.T.4xB.T.2,F6,BT4,BT4,BT2,A.ten,37,C,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
38,0,2024-04-10,2024,15:00,31,27.5,2,T.T.12xT.T.6,F1,TT12,TT12,TT6,A.ten,38,C,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
39,0,2024-04-10,2024,15:00,31,27.5,7,B.T.4xB.T.2,F6,BT4,BT4,BT2,A.ten,39,C,IndivCross,larvae,C,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
40,0,2024-04-10,2024,15:00,31,27.5,13,T.T.2xT.T.4,F3,TT2,TT2,TT4,A.ten,40,C,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
41,0,2024-04-10,2024,15:00,31,27.5,18,Bulk1,F4,Bulk,Bulk,Bulk,A.ten,41,A,BulkCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
42,0,2024-04-10,2024,15:00,31,27.5,6,B.T.2xB.T.4,F10,BT2,BT2,BT4,A.ten,42,B,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
1,0,2024-04-10,2024,15:00,35.5,27.5,7,B.T.4xB.T.2,F6,BT4,BT4,BT2,A.ten,1,B,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
2,0,2024-04-10,2024,15:00,35.5,27.5,9,B.T.8xB.T.2,F7,BT8,BT8,BT2,A.ten,2,A,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
3,0,2024-04-10,2024,15:00,35.5,27.5,2,T.T.12xT.T.6,F1,TT12,TT12,TT6,A.ten,3,A,IndivCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
4,0,2024-04-10,2024,15:00,35.5,27.5,2,T.T.12xT.T.6,F1,TT12,TT12,TT6,A.ten,4,A,IndivCross,larvae,C,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
5,0,2024-04-10,2024,15:00,35.5,27.5,18,Bulk1,F4,Bulk,Bulk,Bulk,A.ten,5,B,BulkCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
6,0,2024-04-10,2024,15:00,35.5,27.5,6,B.T.2xB.T.4,F10,BT2,BT2,BT4,A.ten,6,B,IndivCross,larvae,D,,0,BruMom,BruDad,BruMomBruDad,BxB,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
7,0,2024-04-10,2024,15:00,35.5,27.5,18,Bulk1,F4,Bulk,Bulk,Bulk,A.ten,7,A,BulkCross,larvae,D,,0,TantMom,TantDad,TantMomTantDad,TxT,25,25,25,100,Alive,N,0,0,0,,,NA,NA,,
