TIMEPOINT,FOLDER,FILENAME,VIAL,REP,POINT,TEMP,SYMBIONT_TREATMENT,AVERAGE_FvFm,PAR,F,FvFm,Fm',Fo,Y(ii),Y(NPQ),Y(NO),NPQ,qN,qP,qL,ETR,Abs,lnh
1,11.4.24,T2V7-12,11,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V7-12,12,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V13-18,13,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V13-18,14,1,1,31,,0.362809902,0,0.1241,0.388067061,0.2028,0.1241,0.388,0,0.612,0,0,1,1,0,0,0
1,11.4.24,T2V13-18,14,2,2,31,,,0,0.1256,0.337552743,0.1896,0.1256,0.388,0,0.662,0,0,1,1,0,0,0.13
1,11.4.24,T2V13-18,15,1,NA,31,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11.4.24,T2V13-18,16,1,3,31,,0.498951034,0,0.1041,0.520276498,0.217,0.1041,0.52,0,0.48,0,0,1,1,0,0,-0.341
1,11.4.24,T2V13-18,16,2,4,31,,,0,0.1144,0.477625571,0.219,0.1144,0.478,0,0.522,0,0,1,1,0,0,-0.231
1,11.4.24,T2V13-18,17,1,5,31,,,0,0.1672,0.239654388,0.2199,0.1672,0.24,0,0.76,0,0,1,1,0,0,0.381
1,11.4.24,T2V13-18,18,1,6,31,,0.412048922,0,0.0919,0.574537037,0.216,0.0919,0.575,0,0.425,0,0,1,1,0,0,-0.481
1,11.4.24,T2V13-18,18,2,7,31,,,0,0.1862,0.335237415,0.2801,0.1862,0.335,0,0.665,0,0,1,1,0,0,0.136
1,11.4.24,T2V13-18,18,3,8,31,,,0,0.1129,0.326372315,0.1676,0.1129,0.327,0,0.673,0,0,1,1,0,0,0.158
1,11.4.24,T2V19-24,19,1,1,31,,0.304635561,0,0.1554,0.321989529,0.2292,0.1554,0.322,0,0.678,0,0,1,1,0,0,0
1,11.4.24,T2V19-24,19,2,2,31,,,0,0.0723,0.37075718,0.1149,0.0723,0.37,0,0.63,0,0,1,1,0,0,-0.15
